
============================================================
  🤖 Telegram Alert Bot Started
============================================================
  Asset: BTC/USD
  Interval: 15s
  Spread threshold: 0.2%
  Change alert: 2.0% in 5min
  Cooldown: 300s
  Status updates: Every 30s
============================================================
  Press Ctrl+C to stop
============================================================

  [20:26:13] $87,600.72 | Spread: 0.163% | Alerts: 0 📤
  [20:26:30] $87,617.73 | Spread: 0.191% | Alerts: 0
  [20:26:46] $87,638.11 | Spread: 0.172% | Alerts: 0 📤
  [20:27:03] $87,652.05 | Spread: 0.167% | Alerts: 0
  [20:27:20] $87,667.74 | Spread: 0.187% | Alerts: 0 📤
  [20:27:37] $87,681.23 | Spread: 0.180% | Alerts: 0
  [20:27:53] $87,691.80 | Spread: 0.156% | Alerts: 0 📤
  [20:28:10] $87,687.06 | Spread: 0.148% | Alerts: 0
  [20:28:26] $87,651.04 | Spread: 0.184% | Alerts: 0 📤
  [20:28:43] $87,682.85 | Spread: 0.146% | Alerts: 0
  [20:28:59] $87,676.42 | Spread: 0.161% | Alerts: 0 📤
  [20:29:16] $87,675.54 | Spread: 0.162% | Alerts: 0
  [20:29:32] $87,655.27 | Spread: 0.156% | Alerts: 0 📤
  [20:29:49] $87,672.96 | Spread: 0.153% | Alerts: 0
  [20:30:06] $87,679.65 | Spread: 0.146% | Alerts: 0 📤
  [20:30:23] $87,673.08 | Spread: 0.154% | Alerts: 0
  [20:30:40] $87,667.06 | Spread: 0.153% | Alerts: 0 📤
  [20:30:56] $87,648.29 | Spread: 0.125% | Alerts: 0
  [20:31:13] $87,648.70 | Spread: 0.171% | Alerts: 0 📤
  [20:31:30] $87,654.17 | Spread: 0.158% | Alerts: 0
  [20:31:47] $87,645.00 | Spread: 0.126% | Alerts: 0 📤
  [20:32:03] $87,622.71 | Spread: 0.127% | Alerts: 0
  [20:32:20] $87,626.81 | Spread: 0.186% | Alerts: 0 📤
  [20:32:36] $87,641.55 | Spread: 0.171% | Alerts: 0
  [20:32:53] $87,648.00 | Spread: 0.173% | Alerts: 0 📤
  [20:33:09] $87,651.30 | Spread: 0.146% | Alerts: 0
  [20:33:26] $87,649.09 | Spread: 0.171% | Alerts: 0 📤
  [20:33:43] $87,642.24 | Spread: 0.156% | Alerts: 0
  [20:33:59] $87,634.19 | Spread: 0.151% | Alerts: 0 📤
  [20:34:16] $87,615.27 | Spread: 0.154% | Alerts: 0
  [20:34:33] $87,628.86 | Spread: 0.154% | Alerts: 0 📤
  [20:34:50] $87,617.44 | Spread: 0.154% | Alerts: 0
  [20:35:07] $87,611.45 | Spread: 0.162% | Alerts: 0 📤
  [20:35:24] $87,599.74 | Spread: 0.181% | Alerts: 0
  [20:35:40] $87,620.65 | Spread: 0.162% | Alerts: 0 📤
  [20:35:57] $87,624.50 | Spread: 0.154% | Alerts: 0
  [20:36:14] $87,621.87 | Spread: 0.160% | Alerts: 0 📤
  [20:36:31] $87,606.91 | Spread: 0.164% | Alerts: 0
  [20:36:48] $87,611.23 | Spread: 0.160% | Alerts: 0 📤
  [20:37:05] $87,610.22 | Spread: 0.168% | Alerts: 0
  [20:37:22] $87,616.39 | Spread: 0.141% | Alerts: 0 📤
  [20:37:39] $87,597.17 | Spread: 0.175% | Alerts: 0
  [20:37:55] $87,617.76 | Spread: 0.168% | Alerts: 0 📤
  [20:38:12] $87,612.56 | Spread: 0.131% | Alerts: 0
  [20:38:28] $87,604.29 | Spread: 0.138% | Alerts: 0 📤
